AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,target
-61,0,-89,-92,-63,-93,0,0,3
-48,0,-91,0,-63,-93,0,-79,3
-54,-93,-90,-89,-62,-78,0,-88,3
-50,0,0,-85,0,-79,0,-86,3
-49,-92,-83,-91,-66,-74,0,-85,3
-49,0,-87,0,-64,-74,0,0,3
-51,-94,0,-93,-68,-76,0,-85,3
-47,-94,-84,-87,-74,-79,0,-82,3
-50,-92,-84,-90,-72,-86,0,-85,3
-61,0,-79,-85,-59,-86,0,-80,3
-52,0,-84,0,-62,-83,0,-80,3
-58,0,-85,-89,-60,-84,0,-82,3
-53,0,0,-88,-58,-92,0,-76,3
-53,0,-87,0,-73,-79,0,-76,3
-45,0,-89,-87,-66,-84,0,-82,3
-42,0,-84,0,-78,-81,0,-75,3
-51,0,-79,-90,-77,-88,0,-81,3
-51,0,-82,-88,-72,-87,0,-79,3
-52,0,-85,-89,-65,0,0,-82,3
-53,0,-80,-91,-74,-77,0,0,3
-59,-91,-87,0,-83,-89,0,-84,3
-67,-93,-85,-88,-74,-85,0,0,3
-54,-93,-92,-86,-83,-90,0,-87,3
-52,0,-92,-85,-77,-85,0,-82,3
-49,0,-86,-87,-74,-86,0,-74,3
-53,0,-86,-92,-83,-91,0,-86,3
-47,0,0,-82,-81,0,0,-81,3
-45,-92,-91,-85,-82,-85,0,-82,3
-47,0,-90,-82,-69,-80,0,0,3
0,0,-89,-89,-78,-81,0,0,3
-52,-92,0,-91,-70,-81,0,-91,3
-52,-87,-91,-83,-77,-78,0,-90,3
-66,-89,-87,-82,-78,-95,0,-85,3
-56,0,-91,-85,-83,-79,0,0,3
-57,0,0,-86,-77,-89,0,0,3
-51,0,-90,-85,-71,-86,0,0,3
-51,-91,-91,-80,0,-85,0,-85,3
-59,-82,-83,-85,-75,-72,0,-89,3
-48,0,-92,-77,-66,-88,0,-90,3
-52,0,0,-84,-76,0,0,-78,3
-48,-93,0,-93,-72,-77,0,-84,3
-67,0,-87,-80,-75,-81,0,-89,3
-61,0,-79,-85,-73,-84,0,-82,3
-54,-95,-87,-87,-73,-90,0,-82,3
-49,-95,-78,-81,-69,-86,0,0,3
-61,-90,-87,-78,-71,-79,0,-84,3
-48,-88,-85,-82,-78,-78,0,-81,3
-64,-89,-86,-84,-74,-85,0,-79,3
-56,0,-90,-85,-77,-85,0,-85,3
-55,-91,-87,-77,-81,-82,0,-81,3
-56,-92,-89,-84,-81,-85,0,-80,3
-55,-93,-89,-85,-74,-85,0,-84,3
-56,-91,-89,-79,-73,-83,0,-81,3
-63,-91,-88,-80,-84,-83,0,-75,3
-44,0,-88,-89,-70,-91,0,-86,3
-48,-94,-85,-87,-70,-85,0,-77,3
-56,0,-85,-80,-78,-82,0,-85,3
-66,-90,-83,-83,-79,-80,0,-76,3
-56,-91,-85,-79,-77,-77,0,-82,3
-57,-94,-92,-86,-70,-78,0,-85,3
-53,-87,-84,-90,-78,-80,0,-80,3
-62,-87,-90,-78,-81,-81,0,-85,3
-51,-90,-89,-80,-77,-87,0,-81,3
-50,-93,-89,-90,-65,-87,0,-90,3
-51,0,-88,-82,-79,-85,0,-89,3
-52,0,0,-85,0,-86,0,-89,3
-50,0,-89,-86,-67,-88,0,-87,3
-54,-91,-84,-88,-73,-79,0,-81,3
-55,-88,0,-85,-77,-77,0,0,3
-50,-94,-89,-83,-74,-91,0,-82,3
-61,-91,-83,-91,-67,-89,0,-82,3
-53,0,0,-92,-74,0,0,-83,3
-46,0,-90,-85,-82,-90,0,-79,3
-48,0,-84,-89,-65,-85,0,-87,3
-67,-91,0,-92,-76,-76,0,-86,3
-50,0,-87,-87,-70,-76,0,-83,3
-55,-90,-91,-84,-80,-79,0,-92,3
-64,-89,-89,-82,-73,-79,0,-83,3
-54,-90,-91,-86,-78,-76,0,-86,3
-65,-90,0,-83,0,-81,0,-86,3
-50,0,-89,-77,-82,-85,0,-91,3
-46,0,-87,-91,-72,-86,0,-90,3
-58,-87,-79,-89,-77,-76,0,-89,3
-46,-92,-86,-86,-70,-81,0,-90,3
-51,-93,-82,-90,-74,-78,0,-81,3
-47,-89,-82,-79,-67,-87,0,0,3
-50,-92,-90,-84,-75,-72,0,-86,3
-58,-93,0,-89,-69,-75,0,-93,3
-49,-85,-86,-81,-78,-72,0,-87,3
-49,-94,-85,-84,-77,-75,0,-84,3
-57,-92,-84,-84,-78,-79,0,-87,3
-56,-86,-82,-84,-80,-82,0,-84,3
-55,-88,-86,-84,-74,-77,0,-89,3
-68,-89,-89,-82,-81,-77,0,0,3
-49,0,-90,-88,-77,-80,0,-89,3
-49,-92,-84,-81,-66,-87,0,-82,3
-46,0,-83,-90,-76,-80,0,-87,3
-53,-93,-83,-89,-80,-77,0,-84,3
-70,-91,-89,-83,-75,-84,0,-82,3
-57,-90,-90,-91,-70,-84,0,-92,3
-51,0,-88,-82,-74,-83,0,-82,3
-61,-85,-85,-86,-76,-77,0,-90,3
-56,-85,-88,-80,-79,-78,0,-88,3
-53,-93,-86,-91,-75,-78,0,0,3
-51,-97,-93,-95,-77,-88,0,-82,3
-50,0,-77,-86,-72,-82,0,-86,3
-46,0,0,-90,-76,-89,0,-78,3
-56,-95,-80,-87,-61,-71,0,-82,3
-57,-91,-87,-90,-88,-79,0,-85,3
-57,-86,-89,-81,-79,-76,0,-79,3
-48,0,-88,-84,-72,-89,0,-85,3
-39,0,-79,-81,-76,-84,0,-82,3
-41,0,-82,-86,-80,-90,0,-81,3
-51,0,-83,-89,-75,-85,0,-80,3
-41,0,-87,-90,-64,0,0,-72,3
-42,0,-85,-83,-69,-85,0,-75,3
-52,0,-82,-81,0,-81,0,-74,3
-45,0,-81,-81,0,-84,0,-77,3
-48,0,-87,-90,-73,-84,0,-77,3
-43,0,-86,-94,0,-86,0,-76,3
-62,-91,0,-92,-57,-86,0,-80,3
-51,-96,-84,-89,-70,-87,0,-81,3
-50,-94,-84,-88,-84,-85,0,-83,3
